fecha,zona_prov,w_mean
2008-12-01,MENDOZA,3092
2008-12-01,MISIONES,2802
2008-12-01,NEUQUEN,5162
2008-12-01,RIO NEGRO,3412
2008-12-01,SALTA,2883
2008-12-01,SAN JUAN,3034
2008-12-01,SAN LUIS,3694
2008-12-01,SANTA CRUZ,6100
2008-12-01,SANTA FE,3484
2008-12-01,SANTIAGO DEL ESTERO,2659
2008-12-01,TIERRA DEL FUEGO,6057
2008-12-01,TUCUMAN,2760
2009-01-01,BUENOS AIRES,2689
2009-01-01,CAPITAL FEDERAL,3200
2009-01-01,CATAMARCA,2300
2009-01-01,CHACO,1957
2009-01-01,CHUBUT,4100
2009-01-01,CORDOBA,2384
2009-01-01,CORRIENTES,2088
2009-01-01,ENTRE RIOS,2222
2009-01-01,FORMOSA,2069
2009-01-01,JUJUY,2107
2009-01-01,LA PAMPA,2282
2009-01-01,LA RIOJA,2105
2009-01-01,MENDOZA,2269
2009-01-01,MISIONES,2009
2009-01-01,NEUQUEN,3831
2009-01-01,RIO NEGRO,2269
2009-01-01,SALTA,2066
2009-01-01,SAN JUAN,2249
2009-01-01,SAN LUIS,2599
2009-01-01,SANTA CRUZ,4722
2009-01-01,SANTA FE,2532
2009-01-01,SANTIAGO DEL ESTERO,1871
2009-01-01,TIERRA DEL FUEGO,3949
2009-01-01,TUCUMAN,2041
2009-02-01,BUENOS AIRES,2587
2009-02-01,CAPITAL FEDERAL,3122
2009-02-01,CATAMARCA,2175
2009-02-01,CHACO,1897
2009-02-01,CHUBUT,4003
2009-02-01,CORDOBA,2273
2009-02-01,CORRIENTES,2022
2009-02-01,ENTRE RIOS,2113
2009-02-01,FORMOSA,1986
2009-02-01,JUJUY,1964
2009-02-01,LA PAMPA,2252
2009-02-01,LA RIOJA,1968
2009-02-01,MENDOZA,2155
2009-02-01,MISIONES,1932
2009-02-01,NEUQUEN,3904
2009-02-01,RIO NEGRO,2599
2009-02-01,SALTA,2015
2009-02-01,SAN JUAN,2111
2009-02-01,SAN LUIS,2476
2009-02-01,SANTA CRUZ,4562
2009-02-01,SANTA FE,2448
2009-02-01,SANTIAGO DEL ESTERO,1847
2009-02-01,TIERRA DEL FUEGO,4062
2009-02-01,TUCUMAN,1913
2009-03-01,BUENOS AIRES,2645
2009-03-01,CAPITAL FEDERAL,3123
2009-03-01,CATAMARCA,2154
2009-03-01,CHACO,1892
2009-03-01,CHUBUT,4021
2009-03-01,CORDOBA,2279
2009-03-01,CORRIENTES,2034
2009-03-01,ENTRE RIOS,2134
2009-03-01,FORMOSA,1990
2009-03-01,JUJUY,2086
2009-03-01,LA PAMPA,2259
2009-03-01,LA RIOJA,1971
2009-03-01,MENDOZA,2121
2009-03-01,MISIONES,1947
2009-03-01,NEUQUEN,3874
2009-03-01,RIO NEGRO,2720
2009-03-01,SALTA,2033
2009-03-01,SAN JUAN,2130
2009-03-01,SAN LUIS,2501
2009-03-01,SANTA CRUZ,4633
2009-03-01,SANTA FE,2446
2009-03-01,SANTIAGO DEL ESTERO,1876
2009-03-01,TIERRA DEL FUEGO,4040
2009-03-01,TUCUMAN,1854
2009-04-01,BUENOS AIRES,2713
2009-04-01,CAPITAL FEDERAL,3184
2009-04-01,CATAMARCA,2203
2009-04-01,CHACO,1961
2009-04-01,CHUBUT,4105
2009-04-01,CORDOBA,2380
2009-04-01,CORRIENTES,2056
2009-04-01,ENTRE RIOS,2157
2009-04-01,FORMOSA,2110
2009-04-01,JUJUY,2252
2009-04-01,LA PAMPA,2337
2009-04-01,LA RIOJA,2022
2009-04-01,MENDOZA,2245
2009-04-01,MISIONES,1975
2009-04-01,NEUQUEN,3932
2009-04-01,RIO NEGRO,2715
2009-04-01,SALTA,2140
2009-04-01,SAN JUAN,2177
2009-04-01,SAN LUIS,2571
2009-04-01,SANTA CRUZ,4949
2009-04-01,SANTA FE,2541
2009-04-01,SANTIAGO DEL ESTERO,1896
2009-04-01,TIERRA DEL FUEGO,4176
2009-04-01,TUCUMAN,1877
2009-05-01,BUENOS AIRES,2725
2009-05-01,CAPITAL FEDERAL,3194
2009-05-01,CATAMARCA,2273
2009-05-01,CHACO,2008
2009-05-01,CHUBUT,4198
2009-05-01,CORDOBA,2428
2009-05-01,CORRIENTES,2101
2009-05-01,ENTRE RIOS,2185
2009-05-01,FORMOSA,2084
2009-05-01,JUJUY,2280
2009-05-01,LA PAMPA,2386
2009-05-01,LA RIOJA,2098
2009-05-01,MENDOZA,2382
2009-05-01,MISIONES,2006
2009-05-01,NEUQUEN,4086
2009-05-01,RIO NEGRO,2677
